iter	Passed	Remaining
0	1	122
1	2	117
2	3	110
3	4	97
4	5	95
5	6	94
6	6	92
7	7	90
8	8	89
9	9	88
10	10	87
11	11	86
12	12	85
13	13	83
14	14	82
15	15	81
16	16	79
17	17	78
18	18	77
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	25
70	60	24
71	61	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	64	18
78	65	17
79	65	16
80	66	15
81	66	14
82	67	13
83	67	12
84	68	12
85	68	11
86	69	10
87	69	9
88	70	8
89	70	7
90	71	7
91	71	6
92	72	5
93	72	4
94	73	3
95	73	3
96	73	2
97	74	1
98	74	0
99	75	0
